% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 15:26"
% Table,finer 3x3x3 300s - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
26400,18.290751415282557,18.881306160096813,18.29438111254825,18.968538883858685,21.170319721826615,18.86894635779504,18.28922335072059,18.965683714861086,18.280696269722455,16.989447476645637,17.860664222349044,17.524362366138917,17.890270576206433,19.9778104390428,17.820268983113408,16.9681051023764,16.809304594163564,17.557959131418613,17.16218829378073,17.544803045550907,17.22239836424768,17.467782775598835,18.46756355268201,17.47293565601541,17.205079505621597,17.51301294445841,17.439259930308197,16.24122951685638
26700,18.282483098213334,18.874728661454753,18.286752908663402,18.960527785519787,21.174950544900753,18.862827167505316,18.28048488141252,18.961006007342803,18.273386930702145,16.985166966413715,17.842791159191336,17.503457236816587,17.870613044774927,19.97691178168793,17.80445346465092,16.964983840579293,16.80863033869548,17.536479545725797,17.1436700254867,17.525062596780685,17.202837919683873,17.45082376841725,18.441625345668285,17.455819658756127,17.185967756456137,17.49320896453196,17.413221045667512,16.271968522868804
27000,18.274214781144167,18.86815116281275,18.27912470477861,18.952516687180832,21.179581367974947,18.856707977215592,18.27174641210439,18.956328299824577,18.266077591681892,16.980886456181736,17.824918096033628,17.482552107494257,17.850955513343422,19.976013124333065,17.788637946188317,16.96186257878219,16.807956083227282,17.51499996003298,17.125151757192725,17.505322148010464,17.18327747512012,17.433864761235668,18.415687138654505,17.438703661496845,17.166856007290676,17.473404984605622,17.38718216102677,16.304481869954827
27300,18.265946464075,18.86157366417075,18.271496500893818,18.944505588841935,21.18421219104914,18.85058878692587,18.26300794279632,18.95165059230635,18.25876825266164,16.976605945949814,17.807045032875862,17.46164697817187,17.831297981911973,19.975114466978198,17.772822427725828,16.95874131698514,16.80728182775914,17.493520374340164,17.10663348889875,17.4855816992403,17.16371703055637,17.416905754054028,18.38974893164078,17.421587664237563,17.147744258125158,17.45360100467923,17.361143276386088,16.33875408352219
27600,18.25767814700589,18.854996165528746,18.263868297009026,18.936494490502923,21.188843014123336,18.84446959663626,18.254269473488193,18.946972884788067,18.251458913641386,16.97232543571789,17.789171969718154,17.440741848849484,17.811640450480354,19.974215809623274,17.75700690926334,16.95562005518798,16.806607572291,17.472040788647405,17.088115220604777,17.465841250470078,17.14415658599256,17.399946746872388,18.363810724627,17.40447166697834,17.128632508959754,17.433797024752835,17.335104391745404,16.37476885185339
27900,18.249409829936724,18.8484186668868,18.256240093124177,18.928483392164026,21.193473837197587,18.838350406346535,18.24553100418018,18.942295177269784,18.244149574621133,16.96804492548597,17.77129890656039,17.419836719527154,17.79198291904885,19.973317152268407,17.741191390800793,16.95249879339093,16.80593331682286,17.450561202954532,17.069596952310746,17.446100801699856,17.12459614142881,17.38298773969086,18.337872517613278,17.387355669719057,17.109520759794236,17.413993044826498,17.309065507104663,16.41250903386924
28200,18.241141512867557,18.841841168244798,18.248611889239385,18.920472293825128,21.19810466027178,18.83223121605681,18.236792534872052,18.937617469751558,18.23684023560088,16.963764415254047,17.753425843402624,17.398931590204825,17.772325387617343,19.97241849491354,17.725375872338248,16.949377531593825,16.80525906135466,17.429081617261772,17.051078684016773,17.426360352929635,17.105035696865002,17.36602873250922,18.311934310599554,17.370239672459775,17.090409010628775,17.394189064900104,17.28302662246398,16.451956667287106
28500,18.2475243214933,18.846051504128184,18.255822423411644,18.922989710255194,21.20119780140982,18.83742096559598,18.242795240178907,18.943951400811045,18.2442799212061,16.979954322164417,17.749549276666812,17.394466360320735,17.766349697671103,19.97093773431004,17.723882520105576,16.966882169569658,16.826832858789203,17.423733426024967,17.052006546110988,17.42301827662061,17.10436625963348,17.365984382329714,18.29596238922602,17.36997513752408,17.090357068777507,17.391031181970902,17.274090791701894,16.493092977169965
28800,18.266590194153423,18.859600562436526,18.275878432319814,18.934621363351027,21.202959814901533,18.852400543643682,18.261558962316542,18.959817795116976,18.264487419173633,17.013864888690478,17.757789079967836,17.404232685174293,17.77221798990638,19.968953063431627,17.73478746102711,17.00224206406523,16.867666164706577,17.432349725511244,17.06976837182475,17.433871806322713,17.120050231734467,17.38058257104757,18.288617998705263,17.384298435644666,17.106804661616025,17.402283353158737,17.279960589670623,16.535898384862264
29100,18.2856560668136,18.873149620744925,18.29593444122804,18.946253016446917,21.204721828393247,18.867380121691383,18.28032268445429,18.975684189422907,18.284694917141167,17.04777545521665,17.766028883268802,17.41399901002785,17.778086282141487,19.96696839255327,17.745692401948645,17.037601958560856,16.908499470624008,17.44096602499758,17.08753019753857,17.444725336024874,17.135734203835455,17.39518075976548,18.281273608184392,17.398621733765196,17.123252254454542,17.41353552434657,17.285830387639294,16.5803525173082
