% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 16:18"
% Table,04-08 fine 3x3x3  - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
36000,19.55194482447058,19.46111363614216,21.851556117432324,23.998917679930173,19.75021551965284,22.01065520592249,21.844092244119906,23.21123295763283,21.90532311536299,19.806487392428494,19.507507851459252,21.87427622676296,20.142819477511637,19.97240812939532,22.11908709897949,22.74107650634437,24.6948723103788,21.990001107897683,19.917760811410062,20.52448644956621,21.95581669930732,20.835258777594902,21.012648504205913,22.05562003123265,22.564191762544795,24.257554123393618,22.305260126956455,22
36300,19.58625392112043,19.481285921104416,21.862854587707034,24.25924255688443,19.774349860236043,22.026522232583716,21.916028546593168,23.27092019529573,21.939242029413776,19.852608787437475,19.52598309576217,21.88843019610033,20.198463728186596,19.98045341653261,22.136243465110624,22.840449419700064,24.772920087300577,22.030174065890208,19.977719716760703,20.588126228835677,21.972967664353973,20.929408421275355,21.09715045542339,22.077500161408352,22.65689841641131,24.351517721908294,22.34672936424272,22.5
36600,19.620563017770337,19.50145820606673,21.874153057981744,24.519567433838745,19.798484200819303,22.042389259244942,21.98796484906643,23.330607432958573,21.973160943464563,19.898730182446457,19.544458340065034,21.902584165437702,20.254107978861555,19.98849870366996,22.1533998312417,22.939822333055872,24.850967864222355,22.070347023882732,20.037678622111343,20.65176600810514,21.990118629400683,21.023558064955807,21.181652406640865,22.099380291583998,22.749605070277823,24.445481320422914,22.38819860152904,22.19999999999999
36900,19.654872114420243,19.521630491029043,21.885451528256453,24.779892310793002,19.822618541402562,22.05825628590611,22.05990115153969,23.390294670621415,22.007079857515407,19.944851577455324,19.562933584367897,21.916738134775073,20.30975222953657,19.996543990807368,22.17055619737289,23.03919524641151,24.929015641144133,22.110519981875143,20.097637527461984,20.715405787374664,22.007269594447394,21.117707708636374,21.26615435785834,22.121260421759644,22.84231172414445,24.539444918937477,22.42966783881542,22.19999999999999
37200,19.68918121107015,19.5418027759913,21.896749998531163,25.04021718774743,19.84675288198582,22.07412331256728,22.13183745401301,23.449981908284258,22.040998771566137,19.990972972464306,19.58140882867076,21.930892104112445,20.36539648021153,20.00458927794466,22.18771256350408,23.13856815976726,25.007063418065968,22.150692939867668,20.15759643281268,20.779045566644186,22.024420559494047,21.211857352316883,21.350656309075873,22.143140551935232,22.935018378010966,24.63340851745204,22.47113707610174,22.19999999999999
37500,19.72349030772,19.561975060953614,21.90804846880593,25.300542064701688,19.87088722256908,22.089990339228507,22.203773756486328,23.509669145947214,22.074917685616924,20.037094367473287,19.59988407297368,21.94504607344976,20.42104073088649,20.01263456508201,22.204868929635154,23.237941073122954,25.085111194987746,22.190865897860135,20.217555338163322,20.842685345913708,22.0415715245407,21.306006995997336,21.435158260293292,22.165020682110935,23.02772503187748,24.727372115966602,22.512606313388062,22.100000000000023
37800,19.757799404369848,19.58214734591587,21.919346939080583,25.560866941656002,19.895021563152227,22.105857365889733,22.27571005895959,23.569356383610057,22.10883659966771,20.08321576248227,19.618359317276543,21.959200042787074,20.476684981561505,20.020679852219303,22.222025295766343,23.337313986478648,25.163158971909525,22.231038855852603,20.277514243513906,20.906325125183173,22.058722489587467,21.400156639677846,21.519660211510768,22.18690081228658,23.12043168574405,24.821335714481222,22.55407555067444,22.899999999999977
38100,19.792108501019754,19.60231963087824,21.930645409355293,25.82119181861026,19.919155903735543,22.12172439255096,22.34764636143285,23.6290436212729,22.142755513718498,20.12933715749125,19.636834561579462,21.973354012124446,20.532329232236464,20.028725139356652,22.239181661897476,23.4366868998344,25.241206748831303,22.271211813845127,20.337473148864603,20.969964904452752,22.07587345463412,21.4943062833583,21.6041621627283,22.20878094246217,23.213138339610566,24.9152993129959,22.595544787960762,22.19999999999999
38400,19.82641759766966,19.6224919158405,21.941943879630003,26.081516695564574,19.943290244318803,22.137591419212185,22.41958266390617,23.68873085893574,22.176674427769285,20.175458552500174,19.655309805882325,21.987507981461818,20.587973482911366,20.036770426493945,22.25633802802861,23.53605981319015,25.31925452575308,22.311384771837538,20.3974320542153,21.033604683722217,22.09302441968083,21.588455927038808,21.688664113945777,22.230661072637815,23.30584499347708,25.009262911510405,22.637014025247083,22.19999999999999
38700,19.860726694319567,19.642664200802813,21.95324234990477,26.341841572518945,19.967424584902005,22.15345844587341,22.49151896637943,23.74841809659864,22.210593341820072,20.221579947509156,19.673785050185188,22.00166195079919,20.64361773358644,20.044815713631294,22.27349439415974,23.635432726545844,25.397302302674916,22.351557729830006,20.457390959565885,21.09724446299174,22.110175384727484,21.682605570719318,21.77316606516331,22.252541202813404,23.398551647343652,25.10322651002508,22.678483262533405,22.19999999999999
