% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 17:05"
% Table,09-12 fine 3x3x3 - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
200700,22.51957546862701,22.78805964581312,22.117593736848903,23.23623138593439,22.399859934635515,21.725870603678686,22.64528751788737,23.49551555382459,21.33708610695794,23.028752604787087,24.16281717954365,22.47001225991005,20.36759469137894,25.30256201965358,21.93049263858211,23.18904987239881,24.953543407649533,21.47772213265796,23.581980182647158,23.946543454295522,22.426961279464138,22.841816802453934,23.945802772659533,22.090435460388278,23.827137165691056,24.753516925099177,21.81668970464989,17.80000000000001
201000,22.5093488134778,22.76755288379718,22.084709439453945,23.417845935429227,22.393665656919097,21.69965716949116,22.678085390927663,23.52644920748935,21.322085157141032,23.024441740350483,24.135841186694734,22.434409981778344,20.377342986439714,25.291545586722748,21.906082912871454,23.244782778187528,25.003001992697193,21.46527115975556,23.580702843631457,23.949912498275353,22.396157756303637,22.87476091898708,23.970876137003245,22.065008777216804,23.866361346973804,24.80185474197009,21.807608316171695,17.600000000000023
201300,22.499122158328532,22.74704612178124,22.051825142058988,23.599460484924066,22.387471379202736,21.673443735303522,22.71088326396807,23.557382861154167,21.307084207324237,23.02013087591388,24.10886519384576,22.398807703646582,20.387091281500375,25.280529153791917,21.8816731871608,23.3005156839763,25.052460577744966,21.452820186853046,23.5794255046157,23.953281542255183,22.36535423314325,22.907705035520166,23.995949501347013,22.039582094045386,23.90558552825661,24.850192558841115,21.7985269276935,17.5
201600,22.488895503179265,22.726539359765297,22.018940844663973,23.781075034418848,22.381277101486262,21.64723030111594,22.743681137008423,23.588316514818985,21.292083257507386,23.01582001147733,24.081889200996898,22.36320542551482,20.39683957656115,25.269512720861087,21.85726346145009,23.356248589765016,25.101919162792683,21.44036921395059,23.5781481656,23.956650586235014,22.334550709982693,22.940649152053368,24.021022865690725,22.01415541087397,23.944809709539413,24.898530375712028,21.789445539215308,17.399999999999977
201900,22.478668848029997,22.706032597749356,21.986056547269015,23.962689583913686,22.375082823769844,21.621016866928358,22.776479010048774,23.619250168483745,21.277082307690534,23.011509147040726,24.054913208147923,22.32760314738306,20.406587871621866,25.258496287930257,21.83285373573949,23.411981495553732,25.1513777478404,21.42791824104819,23.57687082658424,23.960019630214845,22.30374718682225,22.973593268586455,24.04609623003455,21.988728727702437,23.984033890822104,24.946868192583054,21.78036415073717,17.399999999999977
202200,22.46844219288073,22.68552583573336,21.953172249874,24.144304133408582,22.368888546053483,21.594803432740775,22.809276883089126,23.650183822148563,21.262081357873683,23.007198282604122,24.027937215299005,22.292000869251297,20.416336166682584,25.247479854999426,21.808444010028836,23.467714401342448,25.200836332888116,21.415467268145733,23.57559348756854,23.963388674194732,22.27294366366175,23.006537385119657,24.07116959437826,21.96330204453102,24.023258072104852,24.995206009453966,21.771282762258977,17.19999999999999
202500,22.458215537731462,22.66501907371736,21.9202879524791,24.325918682903364,22.36269426833701,21.56858999855325,22.842074756129477,23.68111747581338,21.24708040805683,23.002887418167518,24.000961222450087,22.25639859111959,20.4260844617433,25.236463422068596,21.78403428431818,23.523447307131107,25.250294917935776,21.403016295243333,23.57431614855284,23.966757718174563,22.24214014050125,23.0394815016528,24.09624295872203,21.937875361359602,24.062482253387657,25.043543826324992,21.76220137378084,17
202800,22.447988882582194,22.64451231170142,21.887403655084086,24.50753323239826,22.35649999062059,21.542376564365668,22.874872629169886,23.712051129478198,21.23207945823998,22.99857655373097,23.973985229601226,22.22079631298783,20.435832756804018,25.225446989137822,21.75962455860747,23.579180212919937,25.299753502983492,21.390565322340876,23.57303880953708,23.970126762154393,22.211336617340805,23.072425618186003,24.12131632306574,21.912448678188127,24.101706434670405,25.091881643195848,21.753119985302646,17
203100,22.437762227432984,22.624005549685478,21.854519357689128,24.68914778189304,22.350305712904174,21.516163130178086,22.907670502210124,23.742984783143015,21.21707850842313,22.994265689294366,23.94700923675225,22.18519403485618,20.445581051864735,25.214430556206935,21.735214832896872,23.634913118708596,25.34921208803121,21.37811434943842,23.57176147052138,23.973495806134224,22.180533094180305,23.10536973471909,24.14638968740951,21.887021995016653,24.140930615953152,25.140219460066874,21.744038596824453,16.80000000000001
203400,22.427535572283716,22.603498787669537,21.82163506029417,24.87076233138788,22.344111435187756,21.489949695990504,22.940468375250532,23.773918436807776,21.202077558606277,22.989954824857705,23.920033243903333,22.149591756724362,20.455329346925396,25.20341412327616,21.71080510718616,23.690646024497312,25.398670673078925,21.365663376535963,23.570484131505737,23.976864850113998,22.14972957101986,23.138313851252292,24.17146305175328,21.861595311845235,24.1801547972359,25.188557276937843,21.73495720834626,17.100000000000023
